Date,Revenue,COGS,Operating_Expenses,Marketing_Expenses,Administrative_Expenses,RD_Expenses,Gross_Profit,Operating_Profit,Net_Profit,Gross_Profit_Margin,Operating_Profit_Margin,Net_Profit_Margin,Customer_Segment,Product_Service,Department_Business_Unit
2020-01,106181.02,30763.27,21817.57,9790.89,10427.34,5885.9,75417.75,27496.04,22841.73,0.71,0.26,0.22,Prime Members,Electronics,Sales
2020-01,192607.15,29167.28,24917.03,8678.2,4241.02,8496.04,163439.87,117107.57,114006.13,0.85,0.61,0.59,International Customers,Amazon Prime Video,Sales
2020-01,159799.09,11025.68,11261.7,5746.4,13341.13,2125.8,148773.41,116298.38,112398.74,0.93,0.73,0.7,Business Customers,Amazon Web Services (AWS),AWS
2020-01,139798.77,23649.91,20621.85,2084.04,9970.51,2168.05,116148.86,81304.41,78560.22,0.83,0.58,0.56,Non-Prime Members,Amazon Prime Video,Marketing
2020-01,73402.8,25207.82,19293.65,8451.11,4043.65,6011.37,48194.97,10395.2,6875.06,0.66,0.14,0.09,Prime Members,Electronics,Sales
2020-01,73399.18,25952.91,25820.76,5713.14,14510.39,9517.41,47446.27,-8115.43,-10477.74,0.65,-0.11,-0.14,Prime Members,Electronics,Sales
2020-01,58712.54,33206.89,27652.18,11549.91,8738.75,4734.98,25505.65,-27170.17,-29374.8,0.43,-0.46,-0.5,Business Customers,Amazon Web Services (AWS),AWS
2020-01,179926.42,31344.1,5303.92,2311.3,2947.68,3942.48,148582.32,134076.94,130764.02,0.83,0.75,0.73,Business Customers,Amazon Web Services (AWS),Sales
2020-01,140167.25,34316.2,21850.5,9602.76,10148.83,6460.2,105851.05,57788.76,54796.24,0.76,0.41,0.39,International Customers,Amazon Prime Video,Sales
2020-01,156210.89,40595.33,6295.89,14239.17,5291.59,9374.04,115615.56,80414.87,77096.73,0.74,0.51,0.49,Prime Members,Electronics,Sales
2020-01,53087.67,42519.43,18721.47,4267.32,12448.01,8532.35,10568.24,-33400.91,-35547.55,0.2,-0.63,-0.67,International Customers,Amazon Prime Video,Sales
2020-01,195486.48,38724.92,12190.82,8131.44,12631.69,9959.35,156761.55,113848.25,111380.42,0.8,0.58,0.57,Prime Members,Electronics,Marketing
2020-01,174866.4,48220.95,12669.41,3188.49,14726.32,1203.12,126645.45,94858.11,93522.52,0.72,0.54,0.53,Prime Members,Electronics,Sales
2020-01,81850.87,10729.3,13823.96,10133.86,8524.3,2015.72,71121.56,36623.71,35414.6,0.87,0.45,0.43,Non-Prime Members,Amazon Prime Video,Sales
2020-01,77273.75,17831.12,20532.31,9156.91,7914.44,6485.21,59442.63,15353.75,13339.92,0.77,0.2,0.17,Business Customers,Amazon Web Services (AWS),Sales
2020-01,77510.68,10302.52,13351.25,7295.75,11795.18,8385.19,67208.16,26380.79,25083.8,0.87,0.34,0.32,Prime Members,Electronics,Sales
2020-01,95636.34,35898.99,23317.48,8777.9,3722.12,3567.2,59737.35,20352.65,18937.55,0.62,0.21,0.2,International Customers,Amazon Prime Video,Operations
2020-01,128713.46,45921.22,15113.18,13655.47,9109.9,3152.9,82792.24,41760.79,37509.07,0.64,0.32,0.29,Business Customers,Amazon Web Services (AWS),AWS
2020-01,114791.75,19739.29,6708.83,4551.83,9101.22,8082.78,95052.46,66607.8,65452.31,0.83,0.58,0.57,International Customers,Amazon Prime Video,Operations
2020-01,93684.37,47081.38,24594,2293.34,3163.15,1507.44,46602.99,15045.07,11409.3,0.5,0.16,0.12,Business Customers,Amazon Web Services (AWS),AWS
2020-01,141777.93,12410.7,12143.96,13201.64,7433.79,4324.44,129367.24,92263.4,90173.17,0.91,0.65,0.64,Business Customers,Amazon Web Services (AWS),AWS
2020-01,70924.08,47377.44,15819.17,9502.52,13092.7,5552.28,23546.64,-20420.04,-24906.22,0.33,-0.29,-0.35,Prime Members,Electronics,Marketing
2020-01,93821.7,24064.91,22136.1,13578.56,13130,6043.14,69756.79,14869,11929.03,0.74,0.16,0.13,Non-Prime Members,Amazon Prime Video,Sales
2020-01,104954.28,14056.83,13311.4,9760.29,3290.09,7557.54,90897.44,56978.13,54755.82,0.87,0.54,0.52,Prime Members,Electronics,Sales
2020-01,118410.5,29434.87,6414.64,12532.09,3179.37,4193.61,88975.63,62655.91,59585.35,0.75,0.53,0.5,Business Customers,Amazon Web Services (AWS),Sales
2020-01,167776.39,20271.06,14348.03,7585.75,5415.04,6514.16,147505.33,113642.35,111114.52,0.88,0.68,0.66,Prime Members,Electronics,Sales
2020-01,79951.07,21394.92,28611.21,11748.18,13371.96,6268.38,58556.15,-1443.58,-4700.78,0.73,-0.02,-0.06,Prime Members,Electronics,Marketing
